"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C8G",2.24695468210517,-1.00821274073624,0.678283857066664,-1.48641712497242,0.137168822911604,0.319951675197067
"LCN12",8.33808305622101,-1.00538135579603,0.508614066004824,-1.97670772987724,0.0480746765582082,0.152549936075566
"PTGDS",0.787863730989262,-0.522633707789762,1.49346494427006,-0.349947087673492,0.726378407695953,NA
"LCNL1",0.0872104358533607,0.451906313862573,3.00317535619469,0.150476166145416,0.880388953284795,NA
"CLIC3",5.54415169288818,-0.458560332621833,0.750767721425182,-0.610788556214628,0.541339570444394,0.748550686078467
"ABCA2",467.041791929616,-0.475322395516464,0.159076550563855,-2.98801045051366,0.00280799952680852,0.0176074352759821
"C9orf139",0.203012332623793,-0.26943059974684,2.75323319053141,-0.0978597093313538,0.922043693665719,NA
"FUT7",0.12484678347575,-0.269432531984776,3.00317535619469,-0.0897158840322174,0.928512993212488,NA
"NPDC1",404.604904859794,-0.345167785011607,0.187037779383553,-1.84544419929078,0.0649729486066005,0.189876154147416
"ENTPD2",20.3187099176387,-0.276499760228523,0.726823500687523,-0.38042215196258,0.703632073617244,0.855075151213504
"SAPCD2",242.164526425687,-1.75839798804086,0.574179962200845,-3.06245098017855,0.00219532428954112,0.0146169812365801
"UAP1L1",315.090678043368,1.26739690584576,0.408545869574476,3.1022144641086,0.00192078747964101,0.0131876781596455
"MAN1B1",641.947459854082,-0.416538687108689,0.111227513306428,-3.7449249266334,0.000180447725751121,0.0020027246874465
"DPP7",506.748238330649,-0.490897358907661,0.241529570802712,-2.03245241266395,0.0421078766599042,0.138460186551955
"GRIN1",4.03931500367297,1.43692949140473,0.624133316230747,2.30227974382557,0.0213194013959862,0.0829847945538928
"LRRC26",3.50954681610208,-3.08834730349815,0.816081571570527,-3.7843610382657,0.000154103981453175,0.00176588377861509
"ANAPC2",308.716534620496,-0.596450116124117,0.261505871864225,-2.28082877019984,0.02255858122136,0.0866568754636459
"SSNA1",341.502778412141,-0.798633578872617,0.17869704758807,-4.4692041063466,7.8511185786454e-06,0.000158111956122733
"TPRN",67.6383414598356,-0.319004251889377,0.310406541625975,-1.02769822510301,0.304091802992594,0.534492963196276
"TMEM203",285.672679108478,-0.456790962165108,0.106681481897381,-4.28182055630332,1.85370442778896e-05,0.000319450262489225
